class,precision,recall,f1,model
23,96.84684684684684,96.84684684684684,96.84684684684684,balanced_SMOTE_ResNet_50.csv
24,99.38144329896907,99.38144329896907,99.38144329896907,balanced_SMOTE_ResNet_50.csv
25,99.33035714285714,99.33035714285714,99.33035714285714,balanced_SMOTE_ResNet_50.csv
26,99.7737556561086,99.7737556561086,99.7737556561086,balanced_SMOTE_ResNet_50.csv
27,100.0,100.0,100.0,balanced_SMOTE_ResNet_50.csv
28,99.7872340425532,99.7872340425532,99.7872340425532,balanced_SMOTE_ResNet_50.csv
29,99.79166666666669,99.79166666666669,99.79166666666669,balanced_SMOTE_ResNet_50.csv
30,99.77324263038548,99.77324263038548,99.77324263038548,balanced_SMOTE_ResNet_50.csv
31,99.78070175438596,99.78070175438596,99.78070175438596,balanced_SMOTE_ResNet_50.csv
32,99.78165938864628,99.78165938864628,99.78165938864628,balanced_SMOTE_ResNet_50.csv
33,100.0,100.0,100.0,balanced_SMOTE_ResNet_50.csv
34,99.55156950672644,99.55156950672644,99.55156950672644,balanced_SMOTE_ResNet_50.csv
35,99.28571428571428,99.28571428571428,99.28571428571428,balanced_SMOTE_ResNet_50.csv
36,100.0,100.0,100.0,balanced_SMOTE_ResNet_50.csv
37,98.63325740318906,98.63325740318906,98.63325740318906,balanced_SMOTE_ResNet_50.csv
38,97.32142857142856,97.32142857142856,97.32142857142856,balanced_SMOTE_ResNet_50.csv
39,100.0,100.0,100.0,balanced_SMOTE_ResNet_50.csv
40,84.74945533769062,84.74945533769062,84.74945533769062,balanced_SMOTE_ResNet_50.csv
41,98.88143176733782,98.88143176733782,98.88143176733782,balanced_SMOTE_ResNet_50.csv
42,99.78308026030368,99.78308026030368,99.78308026030368,balanced_SMOTE_ResNet_50.csv
0,100.0,100.0,100.0,balanced_WT_cnn.csv
1,88.98678414096916,88.98678414096916,88.98678414096916,balanced_WT_cnn.csv
2,99.31662870159454,99.31662870159454,99.31662870159454,balanced_WT_cnn.csv
3,95.47169811320757,95.47169811320757,95.47169811320757,balanced_WT_cnn.csv
4,97.1496437054632,97.1496437054632,97.1496437054632,balanced_WT_cnn.csv
5,99.30555555555556,99.30555555555556,99.30555555555556,balanced_WT_cnn.csv
6,100.0,100.0,100.0,balanced_WT_cnn.csv
7,99.14529914529916,99.14529914529916,99.14529914529916,balanced_WT_cnn.csv
8,100.0,100.0,100.0,balanced_WT_cnn.csv
9,100.0,100.0,100.0,balanced_WT_cnn.csv
10,97.15447154471543,97.15447154471543,97.15447154471543,balanced_WT_cnn.csv
11,100.0,100.0,100.0,balanced_WT_cnn.csv
