class,accuracy,precision,recall,f1,support,model
32,98.82629108,0.974537037,0.988262911,0.981351981,426,balanced_tk_ResNet50_152.csv
33,100,0.875,1,0.933333333,56,balanced_tk_ResNet50_152.csv
34,68.36734694,0.974545455,0.683673469,0.803598201,392,balanced_tk_ResNet50_152.csv
35,100,0.681818182,1,0.810810811,60,balanced_tk_ResNet50_152.csv
36,100,0.914893617,1,0.955555556,43,balanced_tk_ResNet50_152.csv
37,93.87755102,1,0.93877551,0.968421053,49,balanced_tk_ResNet50_152.csv
38,92.85714286,0.786995516,0.928571429,0.851941748,378,balanced_tk_ResNet50_152.csv
39,98.79518072,1,0.987951807,0.993939394,83,balanced_tk_ResNet50_152.csv
40,95.39007092,0.876221498,0.953900709,0.913412564,282,balanced_tk_ResNet50_152.csv
41,98.12030075,0.589164786,0.981203008,0.736248237,266,balanced_tk_ResNet50_152.csv
42,96.40522876,0.986622074,0.964052288,0.975206612,306,balanced_tk_ResNet50_152.csv
0,100,1,1,1,36,balanced_wt_ResNet_50.csv
1,97.57709251,0.988839286,0.975770925,0.982261641,454,balanced_wt_ResNet_50.csv
2,99.77220957,0.997722096,0.997722096,0.997722096,439,balanced_wt_ResNet_50.csv
3,98.86792453,0.988679245,0.988679245,0.988679245,265,balanced_wt_ResNet_50.csv
4,99.76247031,1,0.997624703,0.998810939,421,balanced_wt_ResNet_50.csv
5,99.53703704,1,0.99537037,0.997679814,432,balanced_wt_ResNet_50.csv
6,99.38271605,1,0.99382716,0.996904025,162,balanced_wt_ResNet_50.csv
7,99.14529915,0.958677686,0.991452991,0.974789916,117,balanced_wt_ResNet_50.csv
8,100,1,1,1,81,balanced_wt_ResNet_50.csv
9,100,1,1,1,227,balanced_wt_ResNet_50.csv
10,99.18699187,0.987854251,0.991869919,0.989858012,246,balanced_wt_ResNet_50.csv
11,100,0.976744186,1,0.988235294,42,balanced_wt_ResNet_50.csv
12,98.01762115,0.982339956,0.980176211,0.981256891,454,balanced_wt_ResNet_50.csv
13,98.24561404,0.933333333,0.98245614,0.957264957,57,balanced_wt_ResNet_50.csv
14,95.58823529,0.984848485,0.955882353,0.970149254,68,balanced_wt_ResNet_50.csv
15,100,0.976190476,1,0.987951807,82,balanced_wt_ResNet_50.csv
16,98.93617021,0.989361702,0.989361702,0.989361702,94,balanced_wt_ResNet_50.csv
17,100,1,1,1,53,balanced_wt_ResNet_50.csv
18,98.68852459,0.996688742,0.986885246,0.991762768,305,balanced_wt_ResNet_50.csv
19,97.87234043,1,0.978723404,0.989247312,141,balanced_wt_ResNet_50.csv
20,100,1,1,1,47,balanced_wt_ResNet_50.csv
21,98,0.98989899,0.98,0.984924623,100,balanced_wt_ResNet_50.csv
22,98.03921569,0.943396226,0.980392157,0.961538462,51,balanced_wt_ResNet_50.csv
23,98.27586207,0.98615917,0.982758621,0.984455959,290,balanced_wt_ResNet_50.csv
24,96.20253165,0.974358974,0.962025316,0.968152866,79,balanced_wt_ResNet_50.csv
25,98,0.98,0.98,0.98,150,balanced_wt_ResNet_50.csv
26,100,1,1,1,40,balanced_wt_ResNet_50.csv
27,100,0.985611511,1,0.992753623,137,balanced_wt_ResNet_50.csv
28,100,1,1,1,83,balanced_wt_ResNet_50.csv
29,99.0990991,1,0.990990991,0.995475113,222,balanced_wt_ResNet_50.csv
30,100,0.984126984,1,0.992,62,balanced_wt_ResNet_50.csv
31,100,1,1,1,47,balanced_wt_ResNet_50.csv
32,100,1,1,1,399,balanced_wt_ResNet_50.csv
33,100,1,1,1,68,balanced_wt_ResNet_50.csv
34,98.2278481,0.992327366,0.982278481,0.987277354,395,balanced_wt_ResNet_50.csv
35,100,1,1,1,79,balanced_wt_ResNet_50.csv
36,100,0.98,1,0.98989899,49,balanced_wt_ResNet_50.csv
37,100,1,1,1,44,balanced_wt_ResNet_50.csv
38,98.11827957,0.970744681,0.981182796,0.975935829,372,balanced_wt_ResNet_50.csv
39,100,1,1,1,88,balanced_wt_ResNet_50.csv
40,98.44720497,0.993730408,0.98447205,0.989079563,322,balanced_wt_ResNet_50.csv
41,99.62962963,0.960714286,0.996296296,0.978181818,270,balanced_wt_ResNet_50.csv
42,98.92857143,0.989285714,0.989285714,0.989285714,280,balanced_wt_ResNet_50.csv
0,100,0.923076923,1,0.96,36,balanced_wt_ResNet_152.csv
1,94.71365639,0.975056689,0.947136564,0.960893855,454,balanced_wt_ResNet_152.csv
2,99.54441913,0.995444191,0.995444191,0.995444191,439,balanced_wt_ResNet_152.csv
3,98.86792453,0.992424242,0.988679245,0.990548204,265,balanced_wt_ResNet_152.csv
4,99.76247031,1,0.997624703,0.998810939,421,balanced_wt_ResNet_152.csv
5,100,0.995391705,1,0.997690531,432,balanced_wt_ResNet_152.csv
6,100,0.993865031,1,0.996923077,162,balanced_wt_ResNet_152.csv
7,96.58119658,0.949579832,0.965811966,0.957627119,117,balanced_wt_ResNet_152.csv
8,100,1,1,1,81,balanced_wt_ResNet_152.csv
9,100,1,1,1,227,balanced_wt_ResNet_152.csv
10,97.15447154,0.995833333,0.971544715,0.983539095,246,balanced_wt_ResNet_152.csv
11,100,0.976744186,1,0.988235294,42,balanced_wt_ResNet_152.csv
12,94.05286344,0.961711712,0.940528634,0.951002227,454,balanced_wt_ResNet_152.csv
13,98.24561404,0.949152542,0.98245614,0.965517241,57,balanced_wt_ResNet_152.csv
14,89.70588235,0.983870968,0.897058824,0.938461538,68,balanced_wt_ResNet_152.csv
15,100,1,1,1,82,balanced_wt_ResNet_152.csv
16,97.87234043,0.989247312,0.978723404,0.983957219,94,balanced_wt_ResNet_152.csv
17,98.11320755,1,0.981132075,0.99047619,53,balanced_wt_ResNet_152.csv
18,99.01639344,0.983713355,0.990163934,0.986928105,305,balanced_wt_ResNet_152.csv
19,99.29078014,0.979020979,0.992907801,0.985915493,141,balanced_wt_ResNet_152.csv
20,97.87234043,1,0.978723404,0.989247312,47,balanced_wt_ResNet_152.csv
21,98,0.98989899,0.98,0.984924623,100,balanced_wt_ResNet_152.csv
22,98.03921569,0.961538462,0.980392157,0.970873786,51,balanced_wt_ResNet_152.csv
23,94.48275862,0.954703833,0.944827586,0.949740035,290,balanced_wt_ResNet_152.csv
24,97.46835443,0.950617284,0.974683544,0.9625,79,balanced_wt_ResNet_152.csv
25,98,0.973509934,0.98,0.976744186,150,balanced_wt_ResNet_152.csv
26,100,0.975609756,1,0.987654321,40,balanced_wt_ResNet_152.csv
27,99.27007299,1,0.99270073,0.996336996,137,balanced_wt_ResNet_152.csv
28,100,1,1,1,83,balanced_wt_ResNet_152.csv
29,99.54954955,0.995495495,0.995495495,0.995495495,222,balanced_wt_ResNet_152.csv
30,98.38709677,0.983870968,0.983870968,0.983870968,62,balanced_wt_ResNet_152.csv
31,100,1,1,1,47,balanced_wt_ResNet_152.csv
32,100,0.982758621,1,0.991304348,399,balanced_wt_ResNet_152.csv
33,100,1,1,1,68,balanced_wt_ResNet_152.csv
34,97.46835443,0.97715736,0.974683544,0.975918885,395,balanced_wt_ResNet_152.csv
35,100,1,1,1,79,balanced_wt_ResNet_152.csv
36,100,1,1,1,49,balanced_wt_ResNet_152.csv
37,100,1,1,1,44,balanced_wt_ResNet_152.csv
38,97.58064516,0.916666667,0.975806452,0.9453125,372,balanced_wt_ResNet_152.csv
39,100,1,1,1,88,balanced_wt_ResNet_152.csv
40,97.51552795,0.972136223,0.97515528,0.973643411,322,balanced_wt_ResNet_152.csv
41,96.66666667,0.981203008,0.966666667,0.973880597,270,balanced_wt_ResNet_152.csv
