,imbalance_cnn_acc1,imbalanced_ResNet50_152_acc2,imbalanced_ResNet_L50_acc3,balanced_SMOTE_CNN_acc4,balanced_SMOTE_ResNet_152_acc5,balanced_SMOTE_ResNet_50_acc6,balanced_WT_cnn_acc7,balanced_wt_ResNet_152_acc8,balanced_wt_ResNet_50_acc9,balanced_tk_cnn_acc10,balanced_tk_ResNet50_152_acc11,balanced_tk_ResNet50_50_acc12
13,92.98245614035088,89.47368421052632,98.24561403508771,98.58823529411764,96.0,99.52941176470588,96.49122807017544,94.73684210526315,96.49122807017544,88.31168831168831,96.1038961038961,92.20779220779221
14,79.41176470588235,97.05882352941177,98.52941176470588,99.57081545064378,100.0,100.0,82.35294117647058,100.0,97.05882352941177,95.23809523809523,98.4126984126984,96.82539682539682
15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.6043956043956,100.0
16,95.74468085106383,97.87234042553192,93.61702127659575,99.58677685950413,97.72727272727273,99.79338842975206,96.80851063829788,100.0,98.93617021276596,98.9247311827957,97.84946236559139,100.0
17,90.56603773584906,98.11320754716981,96.22641509433963,100.0,98.42696629213484,100.0,96.22641509433963,100.0,100.0,94.73684210526315,98.24561403508771,94.73684210526315
18,99.672131147541,99.01639344262296,98.68852459016394,99.78494623655914,98.27956989247312,99.35483870967742,99.01639344262296,98.68852459016394,99.672131147541,100.0,98.87218045112782,99.62406015037594
19,98.58156028368793,94.32624113475178,98.58156028368793,99.14893617021276,98.08510638297872,100.0,99.29078014184397,98.58156028368793,99.29078014184397,96.29629629629629,96.29629629629629,97.22222222222221
20,95.74468085106383,100.0,93.61702127659575,99.76958525345621,100.0,99.76958525345621,100.0,100.0,97.87234042553192,96.07843137254902,92.15686274509804,100.0
21,100.0,98.0,97.0,100.0,99.53596287703016,99.53596287703016,96.0,99.0,100.0,96.93877551020408,90.81632653061224,98.9795918367347
22,90.19607843137256,92.15686274509804,96.07843137254902,100.0,98.3529411764706,100.0,92.15686274509804,98.0392156862745,98.0392156862745,100.0,100.0,98.18181818181819
23,95.86206896551724,98.62068965517241,94.82758620689656,94.5945945945946,96.84684684684684,98.64864864864865,93.44827586206897,98.62068965517241,98.62068965517241,94.5054945054945,99.26739926739927,98.53479853479854
24,97.46835443037975,96.20253164556962,93.67088607594937,100.0,99.17525773195877,100.0,97.46835443037975,98.73417721518987,100.0,93.93939393939394,97.97979797979798,98.98989898989899
25,98.66666666666667,99.33333333333333,98.0,100.0,98.88392857142857,99.55357142857143,97.33333333333334,99.33333333333333,98.66666666666667,97.97297297297297,98.64864864864865,98.64864864864865
26,100.0,97.5,100.0,100.0,100.0,100.0,97.5,100.0,100.0,97.05882352941177,100.0,97.05882352941177
27,100.0,98.54014598540147,99.27007299270073,100.0,99.7752808988764,100.0,99.27007299270073,99.27007299270073,100.0,100.0,100.0,100.0
28,100.0,100.0,100.0,99.7872340425532,100.0,100.0,100.0,100.0,100.0,98.1651376146789,99.08256880733946,99.08256880733946
29,100.0,99.54954954954955,98.1981981981982,99.79166666666667,99.16666666666667,100.0,100.0,100.0,100.0,99.20634920634922,98.01587301587301,97.22222222222221
30,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.04761904761905,100.0
31,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
32,100.0,98.74686716791979,99.74937343358395,99.56331877729258,98.2532751091703,100.0,99.74937343358395,100.0,100.0,100.0,99.76525821596243,99.53051643192488
33,100.0,98.52941176470588,100.0,100.0,87.26114649681529,100.0,100.0,100.0,100.0,100.0,100.0,100.0
34,98.9873417721519,98.48101265822785,99.74683544303798,98.4304932735426,97.75784753363229,99.55156950672645,96.9620253164557,99.24050632911391,100.0,97.70408163265306,99.23469387755102,99.74489795918367
35,100.0,98.73417721518987,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.33333333333333,95.0,100.0
36,100.0,100.0,100.0,100.0,100.0,99.76580796252928,97.95918367346938,100.0,100.0,97.67441860465115,90.69767441860465,100.0
37,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.95918367346938,97.95918367346938,87.75510204081633
38,94.08602150537635,97.84946236559139,96.7741935483871,97.99107142857143,84.59821428571429,98.88392857142857,83.60215053763442,98.9247311827957,98.9247311827957,92.32804232804233,97.61904761904762,98.67724867724867
39,100.0,100.0,96.5909090909091,100.0,100.0,100.0,100.0,100.0,100.0,97.59036144578313,96.3855421686747,98.79518072289156
40,98.13664596273291,87.5776397515528,99.37888198757764,98.0392156862745,99.56427015250546,98.47494553376906,93.47826086956522,98.4472049689441,99.06832298136646,96.09929078014184,96.45390070921985,90.0709219858156
41,94.81481481481482,95.92592592592592,99.25925925925925,96.64429530201343,94.85458612975391,99.55257270693512,94.81481481481482,98.14814814814815,98.88888888888889,95.86466165413535,98.1203007518797,100.0
42,98.92857142857143,98.57142857142858,98.92857142857143,98.91540130151843,99.13232104121475,100.0,98.57142857142858,100.0,99.64285714285714,99.34640522875817,98.0392156862745,99.67320261437908
