class,accuraccy,precision,recall,f1,support,model
25,98.88392857,1,0.977678571,0.988713318,448,balanced_SMOTE_ResNet_152.csv
26,100,0.997742664,1,0.998870056,442,balanced_SMOTE_ResNet_152.csv
27,99.7752809,1,0.997752809,0.998875141,445,balanced_SMOTE_ResNet_152.csv
28,100,1,0.99787234,0.998935037,470,balanced_SMOTE_ResNet_152.csv
29,99.16666667,1,1,1,480,balanced_SMOTE_ResNet_152.csv
30,100,0.997737557,1,0.998867497,441,balanced_SMOTE_ResNet_152.csv
31,100,1,1,1,456,balanced_SMOTE_ResNet_152.csv
32,98.25327511,0.995652174,1,0.997821351,458,balanced_SMOTE_ResNet_152.csv
33,87.2611465,1,0.997876858,0.998937301,471,balanced_SMOTE_ResNet_152.csv
34,97.75784753,0.988814318,0.99103139,0.989921613,446,balanced_SMOTE_ResNet_152.csv
35,100,1,1,1,420,balanced_SMOTE_ResNet_152.csv
36,100,1,0.99765808,0.998827667,427,balanced_SMOTE_ResNet_152.csv
37,100,1,0.990888383,0.995423341,439,balanced_SMOTE_ResNet_152.csv
38,84.59821429,0.985576923,0.915178571,0.949074074,448,balanced_SMOTE_ResNet_152.csv
39,100,1,1,1,416,balanced_SMOTE_ResNet_152.csv
40,99.56427015,0.986899563,0.984749455,0.985823337,459,balanced_SMOTE_ResNet_152.csv
41,94.85458613,0.980088496,0.991051454,0.985539488,447,balanced_SMOTE_ResNet_152.csv
42,99.13232104,0.982942431,1,0.991397849,461,balanced_SMOTE_ResNet_152.csv
0,86.95652174,1,0.891304348,0.942528736,46,balanced_tk_cnn.csv
1,93.47368421,0.989247312,0.968421053,0.978723404,475,balanced_tk_cnn.csv
2,100,0.973493976,1,0.986568987,404,balanced_tk_cnn.csv
3,98.44357977,0.992217899,0.992217899,0.992217899,257,balanced_tk_cnn.csv
4,99.51100244,0.99026764,0.995110024,0.992682927,409,balanced_tk_cnn.csv
5,99.51100244,0.987922705,1,0.993924666,409,balanced_tk_cnn.csv
6,100,1,1,1,169,balanced_tk_cnn.csv
7,100,1,0.991596639,0.995780591,119,balanced_tk_cnn.csv
8,100,0.977777778,1,0.988764045,88,balanced_tk_cnn.csv
9,100,1,1,1,241,balanced_tk_cnn.csv
10,99.59839357,0.992031873,1,0.996,249,balanced_tk_cnn.csv
11,100,1,1,1,34,balanced_tk_cnn.csv
12,96.3963964,0.977220957,0.966216216,0.971687429,444,balanced_tk_cnn.csv
13,88.31168831,0.936708861,0.961038961,0.948717949,77,balanced_tk_cnn.csv
14,95.23809524,1,0.825396825,0.904347826,63,balanced_tk_cnn.csv
15,100,0.989130435,1,0.994535519,91,balanced_tk_cnn.csv
16,98.92473118,0.989130435,0.978494624,0.983783784,93,balanced_tk_cnn.csv
17,94.73684211,1,0.98245614,0.991150442,57,balanced_tk_cnn.csv
